simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
697,47.308142854220655,710,2.8000000000000003,1000,417.9622136076922,49,985,1394,2
698,47.573263800680415,687,2.8000000000000003,1000,419.2958415115711,38,974,1396,2
699,47.888892925961116,683,2.8000000000000003,1000,422.0762566046299,39,975,1398,2
700,46.752751821712735,597,3.2,1000,395.4567094284121,21,957,1400,2
701,48.809607842261435,559,3.2,1000,415.7571933400735,24,960,1402,2
702,50.7036227812708,619,3.2,1000,423.4413920570757,34,970,1404,2
703,48.86120611588799,609,3.2,1000,411.76670456825707,21,957,1406,2
704,44.626597242998336,577,3.2,1000,392.58663342140875,15,951,1408,2
705,49.75564484601105,593,3.2,1000,411.2793464902188,29,965,1410,2
706,45.531994197417475,581,3.2,1000,398.0280775904593,17,953,1412,2
707,44.62137292277147,556,3.2,1000,401.95078139657323,16,952,1414,2
708,51.49118435278602,589,3.2,1000,418.9112404404937,30,966,1416,2
709,51.60847913440135,600,3.2,1000,421.7634647392485,32,968,1418,2
710,47.755552540112085,598,3.2,1000,409.8131422449621,20,956,1420,2
711,46.409661685769684,559,3.2,1000,404.28508950264376,22,958,1422,2
712,50.158786620168335,600,3.2,1000,415.4378080092595,33,969,1424,2
713,47.49875307299439,625,3.2,1000,424.7859587875856,29,965,1426,2
714,43.540829545669354,602,3.2,1000,390.26937242588144,15,951,1428,2
715,48.067296425505496,576,3.2,1000,400.82391902357773,23,959,1430,2
716,46.725212001332984,589,3.2,1000,403.65371811147975,16,952,1432,2
717,48.200611191396405,666,3.2,1000,406.3515467149742,33,969,1434,2
718,48.31929258476802,582,3.2,1000,404.0565112770611,25,961,1436,2
719,46.1467100332851,563,3.2,1000,398.29832329269124,23,959,1438,2
720,46.26059290480334,577,3.2,1000,404.12232862455824,15,951,1440,2
721,48.890783610403886,600,3.2,1000,410.8029970354474,32,968,1442,2
722,48.37066668099398,562,3.2,1000,406.69813882838315,23,959,1444,2
723,50.43371101592876,613,3.2,1000,421.41681155901676,26,962,1446,2
724,48.22152305860444,581,3.2,1000,408.0017562530465,30,966,1448,2
725,48.80945544031153,598,3.2,1000,406.5551702338536,22,958,1450,2
726,49.578006605154,589,3.2,1000,418.8974081064672,26,962,1452,2
727,47.173792460610386,575,3.2,1000,403.2568918627839,19,955,1454,2
728,47.05321495257588,574,3.2,1000,403.4577053232667,23,959,1456,2
729,50.287147987729576,585,3.2,1000,420.3380589215283,25,961,1458,2
730,45.272111330410404,592,3.2,1000,404.7391236911196,23,959,1460,2
731,47.95153163319991,603,3.2,1000,410.2872004093558,24,960,1462,2
732,48.48437268942175,571,3.2,1000,416.0717569811662,29,965,1464,2
733,48.00522321027476,561,3.2,1000,418.19103751346137,24,960,1466,2
734,46.56962273727543,547,3.2,1000,402.72320164277744,17,953,1468,2
735,47.89536958799826,615,3.2,1000,406.4758925682349,27,963,1470,2
736,48.494125437037304,624,3.2,1000,407.1036741600492,17,953,1472,2
737,47.11465960159317,581,3.2,1000,411.86391028670124,21,957,1474,2
